gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant
SRRM3	1732.212431346729	1.8415098435237973	0.18657551889569934	9.870050767771147	5.613619174116475e-23	6.195029731435682e-22	P-Adj < 0.05
HARS2	1171.8194844209079	0.2864579989916852	0.036472537075800705	7.85407383084815	4.027370071785587e-15	2.3045506521884193e-14	P-Adj < 0.05
CCDC59	554.1610524212407	0.2817333532367659	0.04342130023914061	6.48836749901854	8.677141916085633e-11	3.372624971157812e-10	P-Adj < 0.05
MRPS26	1545.514570103204	0.1236100254410619	0.051281222101208564	2.410434470479375	0.015933533358349572	0.023417178633674283	P-Adj < 0.05
REXO4	1346.525832021859	0.16061295251572846	0.039106213127652674	4.107095514245952	4.006655750618965e-5	8.267489996268851e-5	P-Adj < 0.05
CLK4	1029.649262259228	0.8483464037593099	0.07547735040357738	11.239748073073603	2.601236049262476e-29	4.798698144609583e-28	P-Adj < 0.05
TES	694.7845038024149	1.1280257777175013	0.14606007083096204	7.7230263637417105	1.1359966599343133e-14	6.18542674748375e-14	P-Adj < 0.05
POLR1E	1115.404393975928	0.10633593105796658	0.04705446511995031	2.2598478335030934	0.02383069650196391	0.03432953482101095	P-Adj < 0.05
MRPS11	1235.1418285625457	-0.1340277369434046	0.03565340351997242	-3.7591849223686205	1.7046780881645402e-4	3.236531669694887e-4	P-Adj < 0.05
PPWD1	942.0338439711196	0.2528693224594814	0.045150946182544664	5.600532078267732	2.1369485681636192e-8	6.185640351874083e-8	P-Adj < 0.05
ISY1	924.1537806472646	0.28768620233122427	0.03569005451962399	8.06068262442809	7.586957388528145e-16	4.619447946906791e-15	P-Adj < 0.05
MRPL32	711.9664171978377	0.3443305686041945	0.05269957818691915	6.533839177666561	6.410478062371625e-11	2.539535540093375e-10	P-Adj < 0.05
DDX20	866.5374959041036	0.2056470970381094	0.047550119072707654	4.324849254818053	1.5263620219652264e-5	3.303999052800385e-5	P-Adj < 0.05
PRR3	865.5107254410174	0.5571004974742328	0.057719870062801784	9.651797498297947	4.830154217257495e-22	4.81457307462118e-21	P-Adj < 0.05
IGF2BP3	823.0075751465387	1.334649623822332	0.21950624478594635	6.080235325987324	1.2000629016230564e-9	4.0749388637530155e-9	P-Adj < 0.05
NVL	974.3055850668295	0.5057948909835678	0.04333170142001189	11.672629377760284	1.75901167086157e-31	3.623564041974835e-30	P-Adj < 0.05
